"Subregion","Model","NPOT.per.yr","Match.per","No.Match.per"
"Midwest","EC-Earth3-Veg",1,82.1,17.9
"Midwest","EC-Earth3-Veg",2,82.4,17.6
"Midwest","EC-Earth3-Veg",3,85.3,14.7
"Midwest","EC-Earth3-Veg-LR",1,95.2,4.8
"Midwest","EC-Earth3-Veg-LR",2,95.4,4.6
"Midwest","EC-Earth3-Veg-LR",3,94.6,5.4
"Midwest","FGOALS-f3-L",1,84.8,15.2
"Midwest","FGOALS-f3-L",2,85.1,14.9
"Midwest","FGOALS-f3-L",3,88.1,11.9
"Midwest","FGOALS-g3",1,91,9
"Midwest","FGOALS-g3",2,90.1,9.9
"Midwest","FGOALS-g3",3,94.9,5.1
"Midwest","GFDL-ESM4",1,93.5,6.5
"Midwest","GFDL-ESM4",2,93.3,6.7
"Midwest","GFDL-ESM4",3,95.4,4.6
"Midwest","GISS-E2-1-G",1,79,21
"Midwest","GISS-E2-1-G",2,75.2,24.8
"Midwest","GISS-E2-1-G",3,77.9,22.1
"Midwest","GISS-E2-1-H",1,94.4,5.6
"Midwest","GISS-E2-1-H",2,94.8,5.2
"Midwest","GISS-E2-1-H",3,97,3
"Midwest","GISS-E2-2-G",1,89.4,10.6
"Midwest","GISS-E2-2-G",2,89.8,10.2
"Midwest","GISS-E2-2-G",3,89.3,10.7
"Midwest","IITM-ESM",1,79.5,20.5
"Midwest","IITM-ESM",2,89,11
"Midwest","IITM-ESM",3,93.1,6.9
"Midwest","INM-CM4-8",1,87.4,12.6
"Midwest","INM-CM4-8",2,89.5,10.5
"Midwest","INM-CM4-8",3,93.2,6.8
"Midwest","INM-CM5-0",1,87.4,12.6
"Midwest","INM-CM5-0",2,87.9,12.1
"Midwest","INM-CM5-0",3,87.8,12.2
"Midwest","IPSL-CM6A-LR",1,84.8,15.2
"Midwest","IPSL-CM6A-LR",2,87.4,12.6
"Midwest","IPSL-CM6A-LR",3,86.8,13.2
"Midwest","KACE-1-0-G",1,80.7,19.3
"Midwest","KACE-1-0-G",2,83.1,16.9
"Midwest","KACE-1-0-G",3,85.5,14.5
"Midwest","MCM-UA-1-0",1,84.8,15.2
"Midwest","MCM-UA-1-0",2,85.5,14.5
"Midwest","MCM-UA-1-0",3,85,15
"Midwest","MIROC6",1,71,29
"Midwest","MIROC6",2,82.2,17.8
"Midwest","MIROC6",3,84.3,15.7
"Midwest","MPI-ESM1-2-HR",1,94,6
"Midwest","MPI-ESM1-2-HR",2,97.6,2.4
"Midwest","MPI-ESM1-2-HR",3,97.4,2.6
"Midwest","MPI-ESM1-2-LR",1,78.7,21.3
"Midwest","MPI-ESM1-2-LR",2,80.1,19.9
"Midwest","MPI-ESM1-2-LR",3,80.5,19.5
"Midwest","MRI-ESM2-0",1,68.8,31.2
"Midwest","MRI-ESM2-0",2,70,30
"Midwest","MRI-ESM2-0",3,71.6,28.4
"Midwest","NorESM2-LM",1,73,27
"Midwest","NorESM2-LM",2,70.1,29.9
"Midwest","NorESM2-LM",3,67.7,32.3
"Midwest","NorESM2-MM",1,91.5,8.5
"Midwest","NorESM2-MM",2,97.6,2.4
"Midwest","NorESM2-MM",3,97.7,2.3
"Midwest","TaiESM1",1,82.3,17.7
"Midwest","TaiESM1",2,87.3,12.7
"Midwest","TaiESM1",3,86.1,13.9
"Midwest","UKESM1-0-LL",1,75.4,24.6
"Midwest","UKESM1-0-LL",2,75.5,24.5
"Midwest","UKESM1-0-LL",3,78.9,21.1
"Northeast","ACCESS-CM2",1,84.6,15.4
"Northeast","ACCESS-CM2",2,88.3,11.7
"Northeast","ACCESS-CM2",3,90.3,9.7
"Northeast","ACCESS-ESM1-5",1,84.1,15.9
"Northeast","ACCESS-ESM1-5",2,87.6,12.4
"Northeast","ACCESS-ESM1-5",3,92.1,7.9
"Northeast","AWI-CM-1-1-MR",1,93.6,6.4
"Northeast","AWI-CM-1-1-MR",2,98,2
"Northeast","AWI-CM-1-1-MR",3,96.9,3.1
"Northeast","BCC-CSM2-MR",1,90.5,9.5
"Northeast","BCC-CSM2-MR",2,95.5,4.5
"Northeast","BCC-CSM2-MR",3,95.1,4.9
"Northeast","CAMS-CSM1-0",1,93.6,6.4
"Northeast","CAMS-CSM1-0",2,97.2,2.8
"Northeast","CAMS-CSM1-0",3,98,2
"Northeast","CAS-ESM2-0",1,82.7,17.3
"Northeast","CAS-ESM2-0",2,89.6,10.4
"Northeast","CAS-ESM2-0",3,93.3,6.7
"Northeast","CESM2",1,80.6,19.4
"Northeast","CESM2",2,85.6,14.4
"Northeast","CESM2",3,91.3,8.7
"Northeast","CESM2-WACCM",1,80.4,19.6
"Northeast","CESM2-WACCM",2,89.8,10.2
"Northeast","CESM2-WACCM",3,92.6,7.4
"Northeast","CMCC-CM2-SR5",1,93.5,6.5
"Northeast","CMCC-CM2-SR5",2,97.2,2.8
"Northeast","CMCC-CM2-SR5",3,97.8,2.2
"Northeast","CMCC-ESM2",1,71.9,28.1
"Northeast","CMCC-ESM2",2,82.9,17.1
"Northeast","CMCC-ESM2",3,87.7,12.3
"Northeast","CNRM-CM6-1",1,89.1,10.9
"Northeast","CNRM-CM6-1",2,92,8
"Northeast","CNRM-CM6-1",3,92.4,7.6
"Northeast","CNRM-CM6-1-HR",1,92,8
"Northeast","CNRM-CM6-1-HR",2,94.5,5.5
"Northeast","CNRM-CM6-1-HR",3,91.9,8.1
"Northeast","CNRM-ESM2-1",1,89.8,10.2
"Northeast","CNRM-ESM2-1",2,95.7,4.3
"Northeast","CNRM-ESM2-1",3,97.5,2.5
"Northeast","EC-Earth3",1,82.7,17.3
"Northeast","EC-Earth3",2,83.9,16.1
"Northeast","EC-Earth3",3,84.7,15.3
"Northeast","EC-Earth3-Veg",1,83.2,16.8
"Northeast","EC-Earth3-Veg",2,92.3,7.7
"Northeast","EC-Earth3-Veg",3,96.2,3.8
"Northeast","EC-Earth3-Veg-LR",1,96.8,3.2
"Northeast","EC-Earth3-Veg-LR",2,99.3,0.7
"Northeast","EC-Earth3-Veg-LR",3,99.5,0.5
"Northeast","FGOALS-f3-L",1,87.4,12.6
"Northeast","FGOALS-f3-L",2,84.4,15.6
"Northeast","FGOALS-f3-L",3,89,11
"Northeast","FGOALS-g3",1,88.9,11.1
"Northeast","FGOALS-g3",2,92.5,7.5
"Northeast","FGOALS-g3",3,93.9,6.1
"Northeast","GFDL-ESM4",1,94.1,5.9
"Northeast","GFDL-ESM4",2,96.8,3.2
"Northeast","GFDL-ESM4",3,97.7,2.3
"Northeast","GISS-E2-1-G",1,85.9,14.1
"Northeast","GISS-E2-1-G",2,92.1,7.9
"Northeast","GISS-E2-1-G",3,94.4,5.6
"Northeast","GISS-E2-1-H",1,83.6,16.4
"Northeast","GISS-E2-1-H",2,90.8,9.2
"Northeast","GISS-E2-1-H",3,93,7
"Northeast","GISS-E2-2-G",1,93,7
"Northeast","GISS-E2-2-G",2,93.6,6.4
"Northeast","GISS-E2-2-G",3,96.2,3.8
"Northeast","IITM-ESM",1,89.1,10.9
"Northeast","IITM-ESM",2,95.2,4.8
"Northeast","IITM-ESM",3,96.6,3.4
"Northeast","INM-CM4-8",1,94.6,5.4
"Northeast","INM-CM4-8",2,97.7,2.3
"Northeast","INM-CM4-8",3,98,2
"Northeast","INM-CM5-0",1,88.1,11.9
"Northeast","INM-CM5-0",2,93.1,6.9
"Northeast","INM-CM5-0",3,91.2,8.8
"Northeast","IPSL-CM6A-LR",1,93.5,6.5
"Northeast","IPSL-CM6A-LR",2,95.7,4.3
"Northeast","IPSL-CM6A-LR",3,95.1,4.9
"Northeast","KACE-1-0-G",1,87.8,12.2
"Northeast","KACE-1-0-G",2,92.1,7.9
"Northeast","KACE-1-0-G",3,95.8,4.2
"Northeast","MCM-UA-1-0",1,58.5,41.5
"Northeast","MCM-UA-1-0",2,57.5,42.5
"Northeast","MCM-UA-1-0",3,60.6,39.4
"Northeast","MIROC6",1,78.4,21.6
"Northeast","MIROC6",2,82.8,17.2
"Northeast","MIROC6",3,86.8,13.2
"Northeast","MPI-ESM1-2-HR",1,84.8,15.2
"Northeast","MPI-ESM1-2-HR",2,87,13
"Northeast","MPI-ESM1-2-HR",3,93.1,6.9
"Northeast","MPI-ESM1-2-LR",1,86.6,13.4
"Northeast","MPI-ESM1-2-LR",2,84.8,15.2
"Northeast","MPI-ESM1-2-LR",3,80.1,19.9
"Northeast","MRI-ESM2-0",1,89.1,10.9
"Northeast","MRI-ESM2-0",2,93.1,6.9
"Northeast","MRI-ESM2-0",3,93,7
"Northeast","NorESM2-LM",1,93.6,6.4
"Northeast","NorESM2-LM",2,98.5,1.5
"Northeast","NorESM2-LM",3,97.8,2.2
"Northeast","NorESM2-MM",1,85.4,14.6
"Northeast","NorESM2-MM",2,93,7
"Northeast","NorESM2-MM",3,94.9,5.1
"Northeast","TaiESM1",1,88.6,11.4
"Northeast","TaiESM1",2,95.7,4.3
"Northeast","TaiESM1",3,97.5,2.5
"Northeast","UKESM1-0-LL",1,84.9,15.1
"Northeast","UKESM1-0-LL",2,90,10
"Northeast","UKESM1-0-LL",3,92.2,7.8
"Southeast","ACCESS-CM2",1,88.7,11.3
"Southeast","ACCESS-CM2",2,90.8,9.2
"Southeast","ACCESS-CM2",3,92.5,7.5
"Southeast","ACCESS-ESM1-5",1,77.8,22.2
"Southeast","ACCESS-ESM1-5",2,84.6,15.4
"Southeast","ACCESS-ESM1-5",3,88.3,11.7
"Southeast","AWI-CM-1-1-MR",1,86.7,13.3
"Southeast","AWI-CM-1-1-MR",2,89.4,10.6
"Southeast","AWI-CM-1-1-MR",3,89.9,10.1
"Southeast","BCC-CSM2-MR",1,87.4,12.6
"Southeast","BCC-CSM2-MR",2,88.8,11.2
"Southeast","BCC-CSM2-MR",3,89.3,10.7
"Southeast","CAMS-CSM1-0",1,85.3,14.7
"Southeast","CAMS-CSM1-0",2,93.7,6.3
"Southeast","CAMS-CSM1-0",3,95.7,4.3
"Southeast","CAS-ESM2-0",1,96.2,3.8
"Southeast","CAS-ESM2-0",2,97.9,2.1
"Southeast","CAS-ESM2-0",3,98,2
"Southeast","CESM2",1,48.5,51.5
"Southeast","CESM2",2,53.1,46.9
"Southeast","CESM2",3,51.3,48.7
"Southeast","CESM2-WACCM",1,88.8,11.2
"Southeast","CESM2-WACCM",2,92.7,7.3
"Southeast","CESM2-WACCM",3,93.4,6.6
"Southeast","CMCC-CM2-SR5",1,87.7,12.3
"Southeast","CMCC-CM2-SR5",2,92.5,7.5
"Southeast","CMCC-CM2-SR5",3,92.2,7.8
"Southeast","CMCC-ESM2",1,66.2,33.8
"Southeast","CMCC-ESM2",2,69.3,30.7
"Southeast","CMCC-ESM2",3,70.6,29.4
"Southeast","CNRM-CM6-1",1,86.7,13.3
"Southeast","CNRM-CM6-1",2,89.4,10.6
"Southeast","CNRM-CM6-1",3,91.6,8.4
"Southeast","CNRM-CM6-1-HR",1,76.1,23.9
"Southeast","CNRM-CM6-1-HR",2,84.6,15.4
"Southeast","CNRM-CM6-1-HR",3,87.1,12.9
"Southeast","CNRM-ESM2-1",1,88.8,11.2
"Southeast","CNRM-ESM2-1",2,94.7,5.3
"Southeast","CNRM-ESM2-1",3,96.3,3.7
"Southeast","EC-Earth3",1,91.3,8.7
"Southeast","EC-Earth3",2,93.5,6.5
"Southeast","EC-Earth3",3,95,5
"Southeast","EC-Earth3-Veg",1,70.1,29.9
"Southeast","EC-Earth3-Veg",2,85.1,14.9
"Southeast","EC-Earth3-Veg",3,85.7,14.3
"Southeast","EC-Earth3-Veg-LR",1,90.6,9.4
"Southeast","EC-Earth3-Veg-LR",2,91.7,8.3
"Southeast","EC-Earth3-Veg-LR",3,92.3,7.7
"Southeast","FGOALS-f3-L",1,80.6,19.4
"Southeast","FGOALS-f3-L",2,81,19
"Southeast","FGOALS-f3-L",3,85.7,14.3
"Southeast","FGOALS-g3",1,87.6,12.4
"Southeast","FGOALS-g3",2,89.8,10.2
"Southeast","FGOALS-g3",3,91.9,8.1
"Southeast","GFDL-ESM4",1,91.5,8.5
"Southeast","GFDL-ESM4",2,92.6,7.4
"Southeast","GFDL-ESM4",3,95.8,4.2
"Southeast","GISS-E2-1-G",1,81.9,18.1
"Southeast","GISS-E2-1-G",2,89,11
"Southeast","GISS-E2-1-G",3,89.1,10.9
"Southeast","GISS-E2-1-H",1,91.3,8.7
"Southeast","GISS-E2-1-H",2,94.1,5.9
"Southeast","GISS-E2-1-H",3,96.8,3.2
"Southeast","GISS-E2-2-G",1,67.5,32.5
"Southeast","GISS-E2-2-G",2,74.7,25.3
"Southeast","GISS-E2-2-G",3,73.2,26.8
"Southeast","IITM-ESM",1,78.9,21.1
"Southeast","IITM-ESM",2,87.7,12.3
"Southeast","IITM-ESM",3,88.8,11.2
"Southeast","INM-CM4-8",1,88.4,11.6
"Southeast","INM-CM4-8",2,92.6,7.4
"Southeast","INM-CM4-8",3,95.2,4.8
"Southeast","INM-CM5-0",1,92,8
"Southeast","INM-CM5-0",2,96.1,3.9
"Southeast","INM-CM5-0",3,97,3
"Southeast","IPSL-CM6A-LR",1,80.6,19.4
"Southeast","IPSL-CM6A-LR",2,83,17
"Southeast","IPSL-CM6A-LR",3,82.2,17.8
"Southeast","KACE-1-0-G",1,83.4,16.6
"Southeast","KACE-1-0-G",2,86.1,13.9
"Southeast","KACE-1-0-G",3,88.4,11.6
"Southeast","MCM-UA-1-0",1,80.8,19.2
"Southeast","MCM-UA-1-0",2,87.8,12.2
"Southeast","MCM-UA-1-0",3,88,12
"Southeast","MIROC6",1,83.4,16.6
"Southeast","MIROC6",2,90.3,9.7
"Southeast","MIROC6",3,91.4,8.6
"Southeast","MPI-ESM1-2-HR",1,85.5,14.5
"Southeast","MPI-ESM1-2-HR",2,87.3,12.7
"Southeast","MPI-ESM1-2-HR",3,86.5,13.5
"Southeast","MPI-ESM1-2-LR",1,88.7,11.3
"Southeast","MPI-ESM1-2-LR",2,90.6,9.4
"Southeast","MPI-ESM1-2-LR",3,92,8
"Southeast","MRI-ESM2-0",1,91.9,8.1
"Southeast","MRI-ESM2-0",2,95.8,4.2
"Southeast","MRI-ESM2-0",3,96.8,3.2
"Southeast","NorESM2-LM",1,87.6,12.4
"Southeast","NorESM2-LM",2,94.6,5.4
"Southeast","NorESM2-LM",3,95.2,4.8
"Southeast","NorESM2-MM",1,85.4,14.6
"Southeast","NorESM2-MM",2,88.7,11.3
"Southeast","NorESM2-MM",3,92.3,7.7
"Southeast","TaiESM1",1,80.1,19.9
"Southeast","TaiESM1",2,89.6,10.4
"Southeast","TaiESM1",3,91.6,8.4
"Southeast","UKESM1-0-LL",1,83.7,16.3
"Southeast","UKESM1-0-LL",2,82,18
"Southeast","UKESM1-0-LL",3,82.7,17.3
