"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"SON","01010000",0.0241396401765,0.0306396920365338,0,0,0,0
"DJF","01010000",0,0,0,0,0,0
"MAM","01010000",-0.0352372787715113,-0.0443077456295822,0,0,0,0
"JJA","01010000",0.0110976385950113,0.0136680535930484,0,0,0,0
"Annual","01010000",NA,NA,NA,NA,0,0
"SON","01010070",0.0151079729691775,0.0213409208034952,0,0,0,0
"DJF","01010070",0,0,0,0,0,0
"MAM","01010070",-0.0132485301421993,-0.0187143459353691,0,0,0,0
"JJA","01010070",-0.00185944282697822,-0.00262657486812605,0,0,0,0
"Annual","01010070",NA,NA,NA,NA,0,0
"SON","01010500",0.0168774881977912,0.0195330207476371,0,0,0,0
"DJF","01010500",0.0221939739939112,0.0668347670610836,0,0,0,0
"MAM","01010500",-0.0487197254164203,-0.0932358997971451,0,0,0,0
"JJA","01010500",0.00964826322471797,0.00686811198842426,0,0,0,0
"Annual","01010500",NA,NA,NA,NA,0,0.166666666666667
"SON","01011000",0.0156669682882935,0.0251463512881409,0,0,0,0
"DJF","01011000",0,0,0,0,0,0
"MAM","01011000",-0.027810019565034,-0.0409892698908779,0,0,0,0
"JJA","01011000",0.0121430512767406,0.015842918602737,0,0,0,0
"Annual","01011000",NA,NA,NA,NA,0,0
"SON","01013500",-0.0236473381098824,-0.0914533580720201,0,0,0,0
"DJF","01013500",0.355831537675368,0.715788702824472,0.516129032258065,0.862385321100917,1.06666666666667,6.26666666666667
"MAM","01013500",-0.292470014438485,-0.531456846305598,-0.516129032258065,-0.862385321100917,0,0
"JJA","01013500",-0.0397141851270006,-0.0928784984468541,0,0,0,0
"Annual","01013500",NA,NA,NA,NA,1.1,6.6
"SON","01014000",-0.0306899909180814,-0.0826724420743607,0,0,0,0
"DJF","01014000",0.428510714868475,0.91748550878788,0.5,0.944180522565321,1.16666666666667,26.5
"MAM","01014000",-0.342811704783727,-0.769137185034125,-0.5,-0.944180522565321,0.166666666666667,0.566666666666667
"JJA","01014000",-0.0550090191666672,-0.0656758816793948,0,0,0,0
"Annual","01014000",NA,NA,NA,NA,1.53333333333333,26.6666666666667
"SON","01015800",0.0176208533982981,0.0153347983896144,0,0,0,0
"DJF","01015800",0,0,0,0,0,0
"MAM","01015800",-0.00465817619586761,0.00418833455568335,0,0,0.0333333333333334,0.266666666666667
"JJA","01015800",-0.0129626772024305,-0.0195231329452977,0,0,0,0
"Annual","01015800",NA,NA,NA,NA,0.3,0.3
"SON","01017000",0.0117069254538234,0.00782208211232038,0,0,0,0
"DJF","01017000",0.019467440125664,0.0594656732937034,0,0,0,0
"MAM","01017000",-0.0322356779290447,-0.0679407224961704,0,0,0.0333333333333334,0.3
"JJA","01017000",0.00106131234955723,0.000652967090146631,0,0,0,0
"Annual","01017000",NA,NA,NA,NA,0.0333333333333334,0.4
"SON","01018500",-0.00232229236481084,-0.01331719595273,0,0,0,0
"DJF","01018500",-0.0737326005583851,-0.0917627712749796,0,0,0,0
"MAM","01018500",0.0939267337843246,0.168002926184667,0,-0.0212765957446809,0.2,0.733333333333333
"JJA","01018500",-0.0178718408611288,-0.0629229589569576,0,0.0212765957446809,0,0.0333333333333333
"Annual","01018500",NA,NA,NA,NA,0.633333333333333,1.26666666666667
"SON","01019000",-0.00768309090256485,-0.0195541945846179,0,0,0,0
"DJF","01019000",-0.0808210329498992,-0.111100971371622,0,0,0,0
"MAM","01019000",0.133642282841636,0.24553605897952,0,0,0.666666666666667,1.03333333333333
"JJA","01019000",-0.045138158989172,-0.11488089302328,0,0,0,0
"Annual","01019000",NA,NA,NA,NA,0.3,0.6
"SON","01021000",0.00503892230106437,-0.00200816650639889,0,0,0,0
"DJF","01021000",0.0658317733731535,0.0972009940563643,0,0.0588235294117647,0,0.0666666666666667
"MAM","01021000",-0.0749009338180592,-0.0994270309592016,0,-0.0588235294117647,0,0.0666666666666667
"JJA","01021000",0.00403023814384126,0.0042342034092361,0,0,0,0
"Annual","01021000",NA,NA,NA,NA,0.7,0.966666666666667
"SON","01022500",0.00279034195212439,-0.0168734251413895,0,0,0,0
"DJF","01022500",0.0645473348836718,0.127553235691249,0.234959349593496,0.432183908045977,0.333333333333333,0.866666666666667
"MAM","01022500",-0.0673376768357961,-0.110679810549859,-0.234959349593496,-0.432183908045977,0.0333333333333333,0.0666666666666668
"JJA","01022500",0,0,0,0,0,0
"Annual","01022500",NA,NA,NA,NA,0.7,1.4
"SON","01030500",0.0162193515019725,0.00739029476025051,0,0,0,0
"DJF","01030500",0.0441340258729523,0.0954442306949478,0,0.0606060606060606,0,0.0666666666666667
"MAM","01030500",-0.0610270796071866,-0.101840736204211,0,-0.0606060606060606,0,0.0333333333333334
"JJA","01030500",0.000673702232261784,-0.000993789250987913,0,0,0,0
"Annual","01030500",NA,NA,NA,NA,0.133333333333334,0.433333333333333
"SON","01031500",0.00737725554075369,-0.0228706402395257,0,0,0,0
"DJF","01031500",0.0557041916917058,0.129464994596804,0.032258064516129,0.166666666666667,0.0333333333333333,0.2
"MAM","01031500",-0.0670826188553877,-0.101299020018615,-0.032258064516129,-0.166666666666667,0,0
"JJA","01031500",0.00400117162292818,-0.00529533433866301,0,0,0,0
"Annual","01031500",NA,NA,NA,NA,0.466666666666667,1.3
"SON","01034000",0.0053830448667013,-0.0185227787913113,0,0,0,0
"DJF","01034000",0.0570736975628981,0.126910522892184,0.032258064516129,0.210526315789474,0.0333333333333333,0.266666666666667
"MAM","01034000",-0.064173950473042,-0.105049338925388,-0.032258064516129,-0.210526315789474,0,0
"JJA","01034000",0.0017172080434424,-0.00333840517548532,0,0,0,0
"Annual","01034000",NA,NA,NA,NA,0.466666666666667,1.3
"SON","01034500",0.00503899468257427,-0.00858911317233897,0,0,0,0
"DJF","01034500",0.0684546138164903,0.12980984609527,0.032258064516129,0.186046511627907,0.0333333333333333,0.266666666666667
"MAM","01034500",-0.0688699422512319,-0.113121727466537,-0.032258064516129,-0.186046511627907,0,0.166666666666667
"JJA","01034500",-0.00462366624783255,-0.00809900545639322,0,0,0,0
"Annual","01034500",NA,NA,NA,NA,0.533333333333333,1.3
"SON","01038000",0.0276642735649599,0.0206969096018359,0,0,0,0
"DJF","01038000",0.170516673237394,0.305309901601119,0.416666666666667,1,0.166666666666667,0.533333333333333
"MAM","01038000",-0.204547936317092,-0.33358617433889,-0.416666666666667,-1,-0.766666666666667,-1
"JJA","01038000",0.00636698951473875,0.00757936313593496,0,0,0,0
"Annual","01038000",NA,NA,NA,NA,-0.2,0.0666666666666667
"SON","01042500",0.0253410113798241,0.00170773561332625,0,0,0,0
"DJF","01042500",-0.0044518879164855,-0.0178975924824719,0,0,0,0
"MAM","01042500",0.0156944637467704,0.0967590059759845,0,-0.04,0.1,0.666666666666667
"JJA","01042500",-0.036583587210109,-0.0805691491068388,0,0.04,0,0.0666666666666667
"Annual","01042500",NA,NA,NA,NA,1.03333333333333,1.9
"SON","01046500",-0.00337498615604369,-0.0312412583600772,0,0,0,0
"DJF","01046500",0.0356071829497473,0.0451860469653166,0,0,0,0
"MAM","01046500",-0.0156130567122247,0.0282275584416861,0,0,0.0333333333333334,0.766666666666667
"JJA","01046500",-0.0166191400814789,-0.0421723470469254,0,0,0,0
"Annual","01046500",NA,NA,NA,NA,0.9,2
"SON","01047000",0.00585533905209112,-0.0284627294038385,0.03125,0.025,0.0333333333333333,0.0333333333333333
"DJF","01047000",0.0364607596290948,0.087610010069959,0.03125,0.15,0.0333333333333333,0.2
"MAM","01047000",-0.045062654800395,-0.0534163506947236,-0.0625,-0.175,0,0.1
"JJA","01047000",0.00274655611920909,-0.00573092997139679,0,0,0,0
"Annual","01047000",NA,NA,NA,NA,0.666666666666667,1.33333333333333
"SON","01048000",0.00903885562754214,-0.0363369743894653,0,0,0,0
"DJF","01048000",0.0579114081207323,0.113049576484915,0,0.2,0,0.266666666666667
"MAM","01048000",-0.0767039614928046,-0.103452235571996,0,-0.2,0,0.0666666666666667
"JJA","01048000",0.00975369774453022,0.0267396334765463,0,0,0,0
"Annual","01048000",NA,NA,NA,NA,0.8,1.33333333333333
"SON","01049000",-0.000605187951439531,-0.0128420537203554,0,0,0,0
"DJF","01049000",0.0668108826286698,0.116390186057649,0,0.166666666666667,0,0.2
"MAM","01049000",-0.0773164908030175,-0.125638922050609,0,-0.166666666666667,0,0
"JJA","01049000",0.0111107961257871,0.0220907897133151,0,0,0,0
"Annual","01049000",NA,NA,NA,NA,0.666666666666667,1.03333333333333
"SON","01049265",-0.00438795626165647,-0.036627773592853,0,0,0,0
"DJF","01049265",0.082580130023206,0.182698414048983,0.142857142857143,0.444444444444444,0.166666666666667,0.8
"MAM","01049265",-0.0813215594590647,-0.13909734216556,-0.142857142857143,-0.444444444444444,0,0
"JJA","01049265",0.00312938569751528,-0.0069732982905696,0,0,0,0
"Annual","01049265",NA,NA,NA,NA,0.633333333333333,1.93333333333333
"SON","01049500",0.00468397105775316,-0.00609026210538906,0,0,0,0
"DJF","01049500",0.0565137075688773,0.11496549761132,0,0.232558139534884,0,0.333333333333333
"MAM","01049500",-0.0689452426391127,-0.12845251910448,0,-0.232558139534884,0,0.1
"JJA","01049500",0.00774756401248211,0.0195772835985495,0,0,0,0
"Annual","01049500",NA,NA,NA,NA,0.6,1.1
"SON","01052500",0.0149402448542175,0.0105400843960713,0,0,0,0
"DJF","01052500",-0.00830634193834186,-0.0121846964761026,0,0,0,0
"MAM","01052500",-0.000592926952621586,0.0105062095290734,0,0,0.1,0.4
"JJA","01052500",-0.00604097596325396,-0.00886159744904202,0,0,0,0
"Annual","01052500",NA,NA,NA,NA,0.0333333333333334,0.0666666666666667
"SON","01053500",-0.0054636149619356,-0.0216379503758347,0,0,0,0
"DJF","01053500",0.030448528731648,0.045943241356636,0,0,0,0
"MAM","01053500",-0.0133793775882025,0.0173990526363523,-0.024390243902439,-0.0833333333333334,0.333333333333333,1.2
"JJA","01053500",-0.01160553618151,-0.0417043436171538,0.024390243902439,0.0833333333333333,0.0333333333333333,0.2
"Annual","01053500",NA,NA,NA,NA,1.23333333333333,2.63333333333333
"SON","01054000",-0.0044532804351895,-0.0226839040176412,0,0,0,0
"DJF","01054000",-0.00332778442709173,-0.0111261220513057,0,0,0,0
"MAM","01054000",0.00472214754052291,0.0499260290663259,0,-0.0303030303030303,0.366666666666667,1.13333333333333
"JJA","01054000",0.00305891732175836,-0.0161160029973789,0,0.0303030303030303,0,0.0666666666666667
"Annual","01054000",NA,NA,NA,NA,0.8,1.63333333333333
"SON","01054200",-0.00706116321036171,-0.0470623782287558,0.03125,0.024390243902439,0.0333333333333333,0.0333333333333333
"DJF","01054200",0.0470557548244133,0.104312139188695,0.03125,0.24390243902439,0.0333333333333333,0.333333333333333
"MAM","01054200",-0.0358233637665377,-0.0450172944985255,-0.0625,-0.268292682926829,0.0666666666666667,0.0666666666666667
"JJA","01054200",-0.00417122784751376,-0.0122324664614132,0,0,0,0
"Annual","01054200",NA,NA,NA,NA,0.4,0.766666666666667
"SON","01054500",0.0037898547365188,-0.0249547645849627,0,0,0,0
"DJF","01054500",0.0444425840367041,0.0768004300194131,0,0,0,0
"MAM","01054500",-0.046146452521876,-0.0371238644778827,0,0,0,0.166666666666667
"JJA","01054500",-0.00208598625134683,-0.0147218009565675,0,0,0,0
"Annual","01054500",NA,NA,NA,NA,0.633333333333333,1
"SON","01055000",0.0155394006470401,-0.0226708310822958,0.032258064516129,0.0285714285714286,0.0333333333333333,0.0333333333333333
"DJF","01055000",0.0412672525407069,0.0979813816805865,0,0.114285714285714,0,0.133333333333333
"MAM","01055000",-0.0506936875925558,-0.0605310097457883,-0.032258064516129,-0.142857142857143,0,0
"JJA","01055000",-0.00611296559519135,-0.0147795408525025,0,0,0,0
"Annual","01055000",NA,NA,NA,NA,0.333333333333333,0.933333333333333
"SON","01055500",0.0104277256836436,-0.0129487990738832,0,0,0,0
"DJF","01055500",0.0619033352835475,0.115770759414201,0.032258064516129,0.261904761904762,0.0333333333333333,0.366666666666667
"MAM","01055500",-0.0695626990583491,-0.0984796771857445,-0.032258064516129,-0.261904761904762,0,0.0333333333333334
"JJA","01055500",-0.00276836190884202,-0.00434228315457327,0,0,0,0
"Annual","01055500",NA,NA,NA,NA,0.5,1
"SON","01057000",-0.0573163503517104,-0.109187367245363,0,0,0,0
"DJF","01057000",-0.0773015238757564,-0.17146168816121,0.0105263157894737,0.00786275911365261,0.0333333333333333,0.366666666666667
"MAM","01057000",-0.366845573714379,-0.614923269958648,-0.684210526315789,-0.97855611150822,0,0
"JJA","01057000",0.501463447941845,0.895572325365222,0.673684210526316,0.970693352394568,2.13333333333333,45.2666666666667
"Annual","01057000",NA,NA,NA,NA,2.93333333333333,48.2333333333333
"SON","01059000",0.00886793724903559,-0.0174944560240533,0,0,0,0
"DJF","01059000",0.0741347481365289,0.136575406401774,0,0.189189189189189,0,0.233333333333333
"MAM","01059000",-0.079856964315333,-0.106257946753643,0,-0.189189189189189,0,0
"JJA","01059000",-0.00314572107023156,-0.0128230036240776,0,0,0,0
"Annual","01059000",NA,NA,NA,NA,0.5,1
"SON","01064500",-0.00403849023253802,-0.0481970380386247,0.03125,0,0.0333333333333333,0
"DJF","01064500",0.0457219731075585,0.10586268561718,0.03125,0.302325581395349,0.0333333333333333,0.433333333333333
"MAM","01064500",-0.0397276655467357,-0.045406096673802,-0.0625,-0.302325581395349,0,0
"JJA","01064500",-0.00195581732828484,-0.012259550904753,0,0,0,0
"Annual","01064500",NA,NA,NA,NA,0.433333333333333,0.966666666666667
"SON","01066000",0.00586704561133582,-0.0159501591898052,0,0,0,0
