"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"SON","01010000",0.00750989220445752,0.0226814539636531,0,0,0,0
"DJF","01010000",0,0,0,0,0,0
"MAM","01010000",-0.0232758707302992,-0.0325717790296937,0,0,0,0
"JJA","01010000",0.0157659785258418,0.00989032506604064,0,0,0,0
"Annual","01010000",NA,NA,NA,NA,0,0
"SON","01010070",0.00441341366314849,0.015097224667552,0,0,0,0
"DJF","01010070",0,0,0,0,0,0
"MAM","01010070",-0.00387022428922179,-0.0132391047084662,0,0,0,0
"JJA","01010070",-0.000543189373926709,-0.00185811995908586,0,0,0,0
"Annual","01010070",NA,NA,NA,NA,0,0
"SON","01010500",0.00212956300611787,0.0153422415245306,0,0,0,0
"DJF","01010500",0.0202606610487883,0.0349063413525175,0,0,0,0
"MAM","01010500",-0.0377964561945089,-0.0586645322234722,0,0,0,0
"JJA","01010500",0.0154062321396026,0.00841594934642415,0,0,0,0
"Annual","01010500",NA,NA,NA,NA,0,0
"SON","01011000",0.00472339173292133,0.0187785451794483,0,0,0,0
"DJF","01011000",0,0,0,0,0,0
"MAM","01011000",-0.0213989908503466,-0.0354208830035946,0,0,0,0
"JJA","01011000",0.0166755991174253,0.0166423378241464,0,0,0,0
"Annual","01011000",NA,NA,NA,NA,0,0
"SON","01013500",-0.0160873020914228,-0.0594069102436255,0,0,0,0
"DJF","01013500",0.244239239952118,0.545667288773694,0.347826086956522,0.722222222222222,0.533333333333333,2.6
"MAM","01013500",-0.206735385837625,-0.417235065372381,-0.347826086956522,-0.722222222222222,0,0
"JJA","01013500",-0.0214165520230703,-0.0690253131576875,0,0,0,0
"Annual","01013500",NA,NA,NA,NA,0.5,2.73333333333333
"SON","01014000",-0.0222962265564963,-0.0676930553184728,0,0,0,0
"DJF","01014000",0.282447903774065,0.772575797960868,0.340425531914894,0.830578512396694,0.533333333333333,6.7
"MAM","01014000",-0.211726406221267,-0.640766121523693,-0.340425531914894,-0.830578512396694,0.0333333333333334,0.366666666666667
"JJA","01014000",-0.0484252709963019,-0.0641166211187018,0,0,0,0
"Annual","01014000",NA,NA,NA,NA,0.566666666666667,6.43333333333333
"SON","01015800",0.00784759250076675,0.0167797383477452,0,0,0,0
"DJF","01015800",0,0,0,0,0,0
"MAM","01015800",0.000429731278734691,-0.00118807466024085,0,0,0.0333333333333334,0.1
"JJA","01015800",-0.00827732377950144,-0.0155916636875042,0,0,0,0
"Annual","01015800",NA,NA,NA,NA,0.3,0.3
"SON","01017000",0.00229133524558313,0.00919977193001457,0,0,0,0
"DJF","01017000",0.0193027209362536,0.0347448642901546,0,0,0,0
"MAM","01017000",-0.0272219541447474,-0.0460509648195704,0,0,0,0.133333333333333
"JJA","01017000",0.00562789796291054,0.00210632859940114,0,0,0,0
"Annual","01017000",NA,NA,NA,NA,0.0666666666666667,0.166666666666667
"SON","01018500",0.000740124789570681,-0.00816751461661955,0,0,0,0
"DJF","01018500",-0.068000578167376,-0.0836704657840133,0,0,0,0
"MAM","01018500",0.0769471668746322,0.127710031698203,0,0,0.266666666666667,0.4
"JJA","01018500",-0.00968671349682709,-0.0358720512975705,0,0,0,0
"Annual","01018500",NA,NA,NA,NA,0.5,0.7
"SON","01019000",-0.00616418796768508,-0.0134612731939691,0,0,0,0
"DJF","01019000",-0.0735893697316284,-0.0954009451929517,0,0,0,0
"MAM","01019000",0.1159681619586,0.187947198290414,0,0,0.566666666666667,0.833333333333333
