"Season","Site.name","Diff.ratio.mu.mid","Diff.ratio.mu.end","Diff.ratio.N.mid","Diff.ratio.N.end","Diff.count.per.year.mid","Diff.count.per.year.end"
"SON","01010000",0.0123448549873474,0.0157647933868059,0,0,0,0
"DJF","01010000",0,0,0,0,0,0
"MAM","01010000",-0.0300813757942321,-0.0333826629263969,0,0,0,0
"JJA","01010000",0.0177365208068846,0.0176178695395908,0,0,0,0
"Annual","01010000",NA,NA,NA,NA,0,0
"SON","01010070",0.00985708372078305,0.0124077644198212,0,0,0,0
"DJF","01010070",0,0,0,0,0,0
"MAM","01010070",-0.00864390418591587,-0.0108806549527641,0,0,0,0
"JJA","01010070",-0.00121317953486726,-0.00152710946705699,0,0,0,0
"Annual","01010070",NA,NA,NA,NA,0,0
"SON","01010500",0.0100610265227051,0.0116189198683106,0,0,0,0
"DJF","01010500",0.0160058660029022,0.0244180806059724,0,0,0,0
"MAM","01010500",-0.0427651203685987,-0.0501245696901458,0,0,0,0
"JJA","01010500",0.0166982278429912,0.0140875692158628,0,0,0,0
"Annual","01010500",NA,NA,NA,NA,0,0
"SON","01011000",0.00702785220247307,0.0167781861318876,0,0,0,0
"DJF","01011000",0,0,0,0,0,0
"MAM","01011000",-0.031581726786939,-0.036016846593738,0,0,0,0
"JJA","01011000",0.0245538745844661,0.0192386604618505,0,0,0,0
"Annual","01011000",NA,NA,NA,NA,0,0
"SON","01013500",0.00195224411884207,-0.0260620082602292,0,0,0,0
"DJF","01013500",0.196935997889995,0.346116022765175,0.268292682926829,0.516129032258065,0.366666666666667,1.06666666666667
"MAM","01013500",-0.188326462295586,-0.27942645255643,-0.268292682926829,-0.516129032258065,0,0
"JJA","01013500",-0.0105617797132509,-0.0406275619485159,0,0,0,0
"Annual","01013500",NA,NA,NA,NA,0.433333333333333,1.16666666666667
"SON","01014000",-0.0122851194409481,-0.0323507990573749,0,0,0,0
"DJF","01014000",0.197425151451798,0.415432975623754,0.128205128205128,0.513513513513513,0.166666666666667,1.26666666666667
"MAM","01014000",-0.14052176524307,-0.328004573299074,-0.128205128205128,-0.513513513513513,0.133333333333333,0.2
"JJA","01014000",-0.04461826676778,-0.0550776032673057,0,0,0,0
"Annual","01014000",NA,NA,NA,NA,0.3,1.43333333333333
"SON","01015800",0.00299639703317407,0.00995276604714909,0,0,0,0
"DJF","01015800",0,0,0,0,0,0
"MAM","01015800",0.00770164601265344,0.00421633814112277,0,0,0.0333333333333334,0.0333333333333334
"JJA","01015800",-0.0106980430458276,-0.014169104188272,0,0,0,0
"Annual","01015800",NA,NA,NA,NA,0.3,0.3
"SON","01017000",-0.00102779993302532,0.00624639545444641,0,0,0,0
"DJF","01017000",0.0166742113112848,0.0252167079795838,0,0,0,0
"MAM","01017000",-0.0242893454741279,-0.0327550618659338,0,0,0,0.0666666666666667
"JJA","01017000",0.0086429340958684,0.00129195843190356,0,0,0,0
"Annual","01017000",NA,NA,NA,NA,0.0333333333333334,0.0333333333333334
"SON","01018500",-0.00374727717365159,-0.00399353836191077,0,0,0,0
"DJF","01018500",-0.0670458071908111,-0.0798595730822429,0,0,0,0
"MAM","01018500",0.0921533169505775,0.108594097998798,0,-0.0303030303030303,0.233333333333333,0.266666666666667
"JJA","01018500",-0.021360232586115,-0.0247409865546448,0,0.0303030303030303,0,0.0333333333333333
"Annual","01018500",NA,NA,NA,NA,0.6,0.8
"SON","01019000",-0.00930018475587512,-0.0115584990662616,0,0,0,0
"DJF","01019000",-0.0698554711755073,-0.0888545547581071,0,0,0,0
"MAM","01019000",0.133794241295409,0.168319235743282,0,0,0.733333333333333,0.8
"JJA","01019000",-0.0546385853640264,-0.0679061819189127,0,0,0,0
"Annual","01019000",NA,NA,NA,NA,0.233333333333333,0.266666666666667
"SON","01021000",0.000384102824259443,-0.000835635975489739,0,0,0,0
"DJF","01021000",0.0284702300155326,0.0487504302904443,0,0.03125,0,0.0333333333333333
"MAM","01021000",-0.0385018615565899,-0.0574077375478149,0,-0.03125,0,0.0333333333333334
"JJA","01021000",0.00964752871679767,0.00949294323286032,0,0,0,0
"Annual","01021000",NA,NA,NA,NA,0.533333333333333,0.666666666666667
"SON","01022500",-0.0106807762888375,-0.011734421719408,0,0,0,0
"DJF","01022500",0.041450207567324,0.0686541191925781,0.197435897435897,0.3,0.266666666666667,0.466666666666667
"MAM","01022500",-0.0307694312784864,-0.0569196974731701,-0.197435897435897,-0.3,0.0333333333333333,0.0333333333333333
"JJA","01022500",0,0,0,0,0,0
"Annual","01022500",NA,NA,NA,NA,0.5,0.9
"SON","01030500",0.00307244777421681,0.00413244174302622,0,0,0,0
"DJF","01030500",0.0309328981643742,0.0483909762023377,0,0,0,0
"MAM","01030500",-0.0376397791219443,-0.0572538974441188,0,0,0,0
"JJA","01030500",0.00363443318335311,0.00473047949875462,0,0,0,0
"Annual","01030500",NA,NA,NA,NA,0.0999999999999999,0.133333333333334
"SON","01031500",-0.00284134639736042,-0.0123544179010603,0,0,0,0
"DJF","01031500",0.044388132316723,0.0589635747461261,0,0.032258064516129,0,0.0333333333333333
"MAM","01031500",-0.0493663943580939,-0.0541477684238771,0,-0.032258064516129,0,0
"JJA","01031500",0.00781960843873125,0.00753861157881131,0,0,0,0
"Annual","01031500",NA,NA,NA,NA,0.333333333333333,0.533333333333333
"SON","01034000",-0.0025922078990781,-0.00986108131284674,0.03125,0,0.0333333333333333,0
"DJF","01034000",0.0428005237498681,0.056888662218737,0.03125,0.032258064516129,0.0333333333333333,0.0333333333333333
"MAM","01034000",-0.0451564351118273,-0.0539328639948338,-0.0625,-0.032258064516129,0,0
"JJA","01034000",0.00494811926103732,0.00690528308894344,0,0,0,0
"Annual","01034000",NA,NA,NA,NA,0.333333333333333,0.566666666666666
"SON","01034500",-0.00400100224852898,-0.00725973645431574,0,0,0,0
"DJF","01034500",0.041852881625857,0.0561018028088987,0,0.032258064516129,0,0.0333333333333333
"MAM","01034500",-0.0401731169137234,-0.0500775129052342,0,-0.032258064516129,0,0
"JJA","01034500",0.00232123753639554,0.00123544655065141,0,0,0,0
"Annual","01034500",NA,NA,NA,NA,0.4,0.666666666666667
"SON","01038000",0.021583939114058,0.0196151269798205,0,0,0,0
"DJF","01038000",0.115821059319911,0.167539922670354,0.0740740740740741,0.428571428571429,0.0666666666666667,0.3
"MAM","01038000",-0.142334835558881,-0.193876380766882,-0.0740740740740741,-0.428571428571429,-0.166666666666667,-0.6
"JJA","01038000",0.00492983712491231,0.0067213311167079,0,0,0,0
"Annual","01038000",NA,NA,NA,NA,-0.1,0.0666666666666667
"SON","01042500",0.0112670969441949,0.00802323431742619,0,0,0,0
"DJF","01042500",-0.0100765543418749,-0.0153730405217099,0,0,0,0
"MAM","01042500",0.0161253737149615,0.0397237135459189,-0.0606060606060606,-0.0303030303030303,0.1,0.133333333333333
"JJA","01042500",-0.0173159163172814,-0.0323739073416352,0.0606060606060606,0.0303030303030303,0.0666666666666667,0.0333333333333333
"Annual","01042500",NA,NA,NA,NA,0.866666666666666,1.1
"SON","01046500",-0.0130842047581044,-0.0241456684304898,0,0,0,0
"DJF","01046500",0.0163163966869538,0.0230774940377831,0,0,0,0
"MAM","01046500",-0.000356402903660791,0.0095812988316154,0,0,0.0666666666666667,0.433333333333333
"JJA","01046500",-0.00287578902518848,-0.0085131244389087,0,0,0,0
"Annual","01046500",NA,NA,NA,NA,0.8,1.13333333333333
"SON","01047000",-0.00311787681041231,-0.0185144802019904,0,0,0,0
"DJF","01047000",0.0207827587014827,0.030758299360049,0,0,0,0
"MAM","01047000",-0.0190330713463788,-0.0149864760064793,0,0,0,0
"JJA","01047000",0.00136818945530837,0.0027426568484207,0,0,0,0
"Annual","01047000",NA,NA,NA,NA,0.466666666666667,0.733333333333333
"SON","01048000",-0.00121125770353961,-0.0225566654380886,0,0,0,0
"DJF","01048000",0.0332492998099181,0.0431735942735572,0,0,0,0
"MAM","01048000",-0.0431524459070982,-0.0448835964758246,0,0,0,0.0333333333333334
"JJA","01048000",0.0111144038007197,0.024266667640356,0,0,0,0
"Annual","01048000",NA,NA,NA,NA,0.566666666666667,0.933333333333333
"SON","01049000",0.00103113718135656,-0.0105552763289387,0,0,0,0
"DJF","01049000",0.0383924648957054,0.0594470545756482,0,0,0,0
"MAM","01049000",-0.0530724348712934,-0.0707806943347264,0,0,0,0
"JJA","01049000",0.0136488327942315,0.0218889160880169,0,0,0,0
"Annual","01049000",NA,NA,NA,NA,0.5,0.733333333333333
"SON","01049265",-0.00686759002459447,-0.0195745544382727,0,0,0,0
"DJF","01049265",0.04902599119147,0.0737779023953504,0.0909090909090909,0.142857142857143,0.1,0.166666666666667
"MAM","01049265",-0.0462154933012674,-0.0584777619989427,-0.0909090909090909,-0.142857142857143,0,0
"JJA","01049265",0.00405709213439189,0.00427441404186515,0,0,0,0
"Annual","01049265",NA,NA,NA,NA,0.6,0.933333333333333
"SON","01049500",0.00428322269512885,-0.00303418824064227,0,0,0,0
"DJF","01049500",0.0401422261005257,0.04981772865572,0,0.03125,0,0.0333333333333333
"MAM","01049500",-0.0523432453460423,-0.0634352664323377,0,-0.03125,0.0666666666666667,0.0333333333333334
"JJA","01049500",0.00791779655038754,0.0166517260172598,0,0,0,0
"Annual","01049500",NA,NA,NA,NA,0.5,0.733333333333333
"SON","01052500",0.00715858288317618,0.00604884762882671,0,0,0,0
"DJF","01052500",-0.00840220119530664,-0.0103110622032252,0,0,0,0
"MAM","01052500",0.007354310098725,0.0117611689140672,0,0,0.1,0.3
"JJA","01052500",-0.00611069178659451,-0.0074989543396686,0,0,0,0
"Annual","01052500",NA,NA,NA,NA,0.0333333333333334,0.0333333333333334
"SON","01053500",-0.00942407252630401,-0.0141509375426391,0,0,0,0
"DJF","01053500",0.0130017804791361,0.0202595929082372,0,0,0,0
"MAM","01053500",-0.003959667705146,-0.00739226462868536,-0.0512820512820513,-0.0377358490566038,0.233333333333333,0.7
"JJA","01053500",0.000381959752313837,0.00128360926308707,0.0512820512820513,0.0377358490566038,0.0666666666666667,0.0666666666666667
"Annual","01053500",NA,NA,NA,NA,1.06666666666667,1.53333333333333
"SON","01054000",-0.00968237673476777,-0.0151036439435727,0,0,0,0
"DJF","01054000",-0.00516589769200519,-0.00768290893483377,0,0,0,0
"MAM","01054000",0.00319414605448298,0.00954169959333873,-0.024390243902439,0,0.333333333333333,0.7
"JJA","01054000",0.0116541283722901,0.0132448532850678,0.024390243902439,0,0.0333333333333333,0
"Annual","01054000",NA,NA,NA,NA,0.7,1.1
"SON","01054200",-0.013059635162501,-0.0323343623221269,0,0,0,0
"DJF","01054200",0.0318195100550175,0.0389466227653892,0.032258064516129,0.032258064516129,0.0333333333333333,0.0333333333333333
"MAM","01054200",-0.013637380670971,-0.00178164143168968,-0.032258064516129,-0.032258064516129,0.0666666666666667,0.0666666666666667
"JJA","01054200",-0.00512249422154547,-0.00483061901157255,0,0,0,0
"Annual","01054200",NA,NA,NA,NA,0.2,0.4
"SON","01054500",-0.00564786794738806,-0.0192265044551446,0,0,0,0
"DJF","01054500",0.0237222507314006,0.0368556382779269,0,0,0,0
"MAM","01054500",-0.0124902814087363,-0.0107226044836954,0,0,0.0333333333333334,0.0333333333333334
"JJA","01054500",-0.00558410137527622,-0.00690652933908679,0,0,0,0
"Annual","01054500",NA,NA,NA,NA,0.433333333333333,0.566666666666666
"SON","01055000",0.00683303290850318,-0.00906651401411634,0,0,0,0
"DJF","01055000",0.0222464431542843,0.0367342832159227,0,0,0,0
"MAM","01055000",-0.0234920548595732,-0.0191902062365027,0,0,0,0
"JJA","01055000",-0.00558742120321448,-0.00847756296530372,0,0,0,0
"Annual","01055000",NA,NA,NA,NA,0.233333333333333,0.433333333333333
"SON","01055500",0.00793834585664265,-0.00688025102051534,0,0,0,0
"DJF","01055500",0.0370323795032274,0.0605024998838803,0,0.0625,0,0.0666666666666667
"MAM","01055500",-0.0421817217511556,-0.0507214055767983,0,-0.0625,0,0
"JJA","01055500",-0.0027890036087144,-0.00290084328656673,0,0,0,0
"Annual","01055500",NA,NA,NA,NA,0.3,0.5
"SON","01057000",-0.0294809615865995,-0.0611899519342817,0,0,0,0
"DJF","01057000",-0.0321069986662491,-0.0698557250641394,0,0.0108695652173913,0,0.0333333333333333
"MAM","01057000",-0.205181072198156,-0.338540816152258,-0.387755102040816,-0.673913043478261,0,0
"JJA","01057000",0.266769032451005,0.469586493150679,0.387755102040816,0.66304347826087,0.633333333333333,2.03333333333333
"Annual","01057000",NA,NA,NA,NA,1.53333333333333,3.16666666666667
"SON","01059000",0.00407269890530657,-0.00851731639908307,0,0,0,0
"DJF","01059000",0.0471753095263277,0.06899748328598,0,0.032258064516129,0,0.0333333333333333
"MAM","01059000",-0.0470238504467256,-0.054366292118016,0,-0.032258064516129,0,0
"JJA","01059000",-0.00422415798490862,-0.00611387476888085,0,0,0,0
"Annual","01059000",NA,NA,NA,NA,0.366666666666667,0.566666666666667
"SON","01064500",-0.0113339635477745,-0.0292071634390806,0,0,0,0
"DJF","01064500",0.0345326276637368,0.0409120538758133,0.0625,0.032258064516129,0.0666666666666667,0.0333333333333333
"MAM","01064500",-0.0163080313034546,-0.00733931896063833,-0.0625,-0.032258064516129,0,0
"JJA","01064500",-0.00689063281250774,-0.00436557147609425,0,0,0,0
"Annual","01064500",NA,NA,NA,NA,0.3,0.6
"SON","01066000",0.0019698158249659,-0.00785389288968986,0,0,0,0
"DJF","01066000",0.0485013300936235,0.0595902456761138,0,0.0588235294117647,0,0.0666666666666667
"MAM","01066000",-0.0466400892470331,-0.048997594128383,0,-0.0588235294117647,0.0333333333333334,0.0666666666666667
"JJA","01066000",-0.00383105667155616,-0.00273875865804084,0,0,0,0
"Annual","01066000",NA,NA,NA,NA,0.266666666666667,0.533333333333333
"SON","01073000",-0.000953558880030514,-0.00301591267784591,0,0,0,0
"DJF","01073000",0.0289286926734642,0.0417126041126007,0.0625,0.032258064516129,0.0666666666666667,0.0333333333333333
"MAM","01073000",-0.0237863211074082,-0.0355782362401567,-0.0625,-0.032258064516129,0,0
"JJA","01073000",-0.00418881268602569,-0.00311845519459817,0,0,0,0
"Annual","01073000",NA,NA,NA,NA,0.366666666666666,0.633333333333333
"SON","01073500",0.0166092276239963,0.0229583466551373,0,0,0,0
"DJF","01073500",0.132874179953781,0.191963234789248,0.19047619047619,0.285714285714286,0.133333333333333,0.133333333333333
"MAM","01073500",-0.14969132154424,-0.217735679114763,-0.19047619047619,-0.285714285714286,-0.4,-0.633333333333333
"JJA","01073500",0.000207913966462317,0.0028140976703771,0,0,0,0
"Annual","01073500",NA,NA,NA,NA,0.0666666666666667,0.233333333333333
"SON","01076500",-0.00719175359589114,-0.0171197036245094,0,0,0,0
"DJF","01076500",0.0394386221035049,0.0548853340608538,0,0.032258064516129,0,0.0333333333333333
"MAM","01076500",-0.0273936281043624,-0.0364447902275623,0,-0.032258064516129,0,0
"JJA","01076500",-0.00485324040325147,-0.00132084020878206,0,0,0,0
"Annual","01076500",NA,NA,NA,NA,0.333333333333333,0.433333333333333
"SON","01078000",-0.00381050159967106,-0.00846180331561693,0,0,0,0
"DJF","01078000",0.0417323451784013,0.0579288068665888,0.03125,0.0294117647058824,0.0333333333333333,0.0333333333333333
"MAM","01078000",-0.0500733897220254,-0.0693151948364243,-0.03125,-0.0294117647058824,0.0333333333333334,0.1
"JJA","01078000",0.012151546143295,0.0198481912854523,0,0,0,0
"Annual","01078000",NA,NA,NA,NA,0.233333333333333,0.333333333333333
"SON","01081000",0.00367024577046927,0.00558857842304491,0,0,0,0
