"Year","Month","Value","Variable"
1953,11,6.59953513352459,"TMEAN"
1953,12,4.49160234852097,"TMEAN"
1954,1,560.546612501641,"PPT"
1954,2,242.361912648238,"PPT"
1954,3,200.285373726311,"PPT"
1954,4,200.991482272164,"PPT"
1954,5,1.33605530473464,"PPT"
1954,6,50.0348004361827,"PPT"
1954,7,0.725878380337528,"PPT"
1954,8,73.6792938658924,"PPT"
1954,9,8.25494615286544,"PPT"
1954,10,41.6083785830386,"PPT"
1954,11,268.707004466583,"PPT"
1954,12,285.226656012829,"PPT"
1954,1,1.37554555779548,"TMEAN"
1954,2,6.26288747289884,"TMEAN"
1954,3,3.8056732231827,"TMEAN"
1954,4,9.92920010210572,"TMEAN"
1954,5,13.9516564192798,"TMEAN"
1954,6,14.151721896283,"TMEAN"
1954,7,20.4027692513774,"TMEAN"
1954,8,17.1446571918672,"TMEAN"
1954,9,15.3215637235035,"TMEAN"
1954,10,11.2790122973291,"TMEAN"
1954,11,7.29243984023553,"TMEAN"
1954,12,1.82828806571988,"TMEAN"
1955,1,121.259860444558,"PPT"
1955,2,49.8508455186878,"PPT"
1955,3,46.7847684428623,"PPT"
1955,4,265.813876498855,"PPT"
1955,5,6.78735086884557,"PPT"
1955,6,5.52568481470409,"PPT"
1955,7,5.19303300644435,"PPT"
1955,8,0.338898601739881,"PPT"
1955,9,43.9063660403004,"PPT"
1955,10,21.7946546225898,"PPT"
1955,11,280.951691061763,"PPT"
1955,12,699.642257567924,"PPT"
1955,1,0.411719325500635,"TMEAN"
1955,2,1.96869144675001,"TMEAN"
1955,3,4.27834363325233,"TMEAN"
1955,4,4.01841513412209,"TMEAN"
1955,5,11.7968027009306,"TMEAN"
1955,6,16.1204694800174,"TMEAN"
1955,7,18.1251687218028,"TMEAN"
1955,8,21.3123321937302,"TMEAN"
1955,9,17.5400688101626,"TMEAN"
1955,10,12.7744826051918,"TMEAN"
1955,11,4.52007545235697,"TMEAN"
1955,12,2.34395046190974,"TMEAN"
1956,1,513.476574900318,"PPT"
1956,2,386.204072980061,"PPT"
1956,3,17.4928385819348,"PPT"
1956,4,31.7582000249771,"PPT"
1956,5,106.043684397643,"PPT"
1956,6,31.2596654614061,"PPT"
1956,7,16.1650291784441,"PPT"
1956,8,2.1944359329564,"PPT"
1956,9,11.9536927717625,"PPT"
1956,10,141.8075950128,"PPT"
1956,11,9.32367322773158,"PPT"
1956,12,24.971332866806,"PPT"
1956,1,1.85973350828557,"TMEAN"
1956,2,0.769092210085795,"TMEAN"
1956,3,4.96168339429708,"TMEAN"
1956,4,8.38968596788449,"TMEAN"
1956,5,12.2034334059879,"TMEAN"
1956,6,15.5636725620149,"TMEAN"
1956,7,21.1744426081587,"TMEAN"
1956,8,18.8726780022534,"TMEAN"
1956,9,17.0743646672748,"TMEAN"
1956,10,9.71065729957959,"TMEAN"
1956,11,7.89327037997307,"TMEAN"
1956,12,4.27202176425629,"TMEAN"
1957,1,255.041935873358,"PPT"
1957,2,387.203303050966,"PPT"
1957,3,200.038045291634,"PPT"
1957,4,167.630801194912,"PPT"
1957,5,234.310052466187,"PPT"
1957,6,5.4029118284171,"PPT"
1957,7,0.595002827784623,"PPT"
1957,8,0.00645628900062531,"PPT"
1957,9,208.396896686718,"PPT"
1957,10,196.380120765443,"PPT"
1957,11,111.107223807365,"PPT"
1957,12,260.446316326866,"PPT"
1957,1,-1.46836850142376,"TMEAN"
1957,2,4.30727643043206,"TMEAN"
