"Year","DJF","MAM","JJA","SON","Variable"
1948,NA,254.641931979599,45.9356102078977,81.552154817599,"PPT"
1949,139.710544753871,188.737195927036,3.88618555690052,40.6296488923731,"PPT"
1950,214.583493219777,101.299003874822,13.0436160057415,256.810317420241,"PPT"
1951,244.015146519221,91.0765511241183,5.91867589754512,180.860509655751,"PPT"
1952,339.740421073218,107.798237412379,38.6237085573515,44.9833034450535,"PPT"
1953,359.037035949167,159.700010608027,24.7342550514214,130.970093830378,"PPT"
1954,296.461887203462,134.204303767737,41.4799908941375,106.190109734162,"PPT"
1955,152.112453992025,106.461998603521,3.68587214096277,115.550903908218,"PPT"
1956,533.107635149434,51.764907668185,16.5397101909355,54.3616536707647,"PPT"
1957,222.405523930377,200.659632984244,2.00145698173412,171.961413753175,"PPT"
1958,443.214483786863,246.098793054551,54.7344918055603,33.271119168261,"PPT"
1959,351.145887808375,55.9642630183953,7.45543270347283,47.1768084589614,"PPT"
1960,241.697762053459,176.101012882244,0.983715635676296,127.481384043098,"PPT"
1961,235.213558129719,142.055169274637,15.6399715331468,142.647507298086,"PPT"
1962,271.917365626474,88.2544691993455,10.087945421076,183.044004215997,"PPT"
1963,182.424835981327,250.166662588052,8.41179710439116,169.835232922929,"PPT"
1964,104.910129904192,48.8181875487458,22.7888221644485,125.049695956328,"PPT"
1965,291.098139768267,141.650021580145,23.7244759234552,190.713399497333,"PPT"
1966,220.826291111797,68.7957728103161,5.20548366219081,168.337835843655,"PPT"
1967,237.21336890907,234.251829655889,22.5184735054203,55.6893604879797,"PPT"
1968,242.768617495589,71.6433819944175,32.7255018006743,87.6018866635204,"PPT"
1969,415.602206933911,71.3479113242285,10.5830818234029,53.5429645419793,"PPT"
1970,472.44632636214,52.0397926313645,12.8568902792757,225.16686837822,"PPT"
1971,201.847847640071,129.789456470054,12.7855705130453,81.3220108712625,"PPT"
1972,180.93191020299,104.280478933945,18.8029859979906,160.616159498827,"PPT"
1973,326.902921556966,65.1666667743793,1.80735574064399,359.493699687361,"PPT"
1974,323.546445468642,219.721920298719,24.118524620892,64.8625319765703,"PPT"
1975,237.474441092555,208.960339025163,15.7938320022093,83.306885333599,"PPT"
1976,105.749246581599,87.9856943111731,36.3758757734974,29.1645896867478,"PPT"
1977,49.9483913302906,79.613094975542,16.4203800759148,142.367490043701,"PPT"
1978,479.840715997979,226.417171784347,16.8844963228139,78.8537957226157,"PPT"
1979,207.517103377342,129.249491118666,11.4687998479711,155.707060308,"PPT"
1980,299.318993642434,102.706577082292,17.2359480609954,50.5618329631856,"PPT"
1981,262.901884428537,128.082519229901,1.37854391340512,288.887877020683,"PPT"
1982,276.461160225537,214.745263792512,27.3145406164302,168.055679110968,"PPT"
