"Site_ID","Mu_intercept","Mu_prec.conc","Mu_temp.conc","Mu_prec.lag","Mu_temp.lag","Season"
"11342000",-4.54927097710222,0.0159931861736824,-99,-99,-99,"SON"
"11342000",-1.80568123938379,0.00643114928073082,-99,-99,-99,"DJF"
"11342000",-2.55491280818812,0.0123656411038255,-99,-99,-99,"MAM"
"11342000",-99,-99,-99,-99,-99,"JJA"
