"NPOT.per.yr","Year","SON","DJF","MAM","JJA","Annual"
3,1985,1,0,0,0,1
3,1986,0,3,1,0,4
3,1987,0,1,1,0,2
3,1988,0,1,0,0,1
3,1989,0,0,2,0,2
3,1990,1,1,1,0,3
3,1991,0,0,1,0,1
3,1992,0,1,2,0,3
3,1993,0,3,2,0,5
3,1994,0,1,0,0,1
3,1995,0,2,3,0,5
3,1996,0,3,2,0,5
3,1997,0,3,0,0,3
3,1998,0,3,4,0,7
3,1999,1,2,1,0,4
3,2000,0,3,1,0,4
3,2001,0,1,2,0,3
3,2002,0,1,0,0,1
3,2003,0,3,3,0,6
3,2004,0,3,0,0,3
3,2005,0,3,2,1,6
3,2006,0,2,4,0,6
3,2007,0,1,0,0,1
3,2008,0,1,0,0,1
3,2009,0,0,3,0,3
3,2010,0,3,1,1,5
3,2011,0,3,1,0,4
3,2012,0,0,2,0,2
3,2013,0,1,0,0,1
3,2014,0,0,0,0,0
3,2015,0,2,0,0,2
3,2016,0,1,2,0,3
3,2017,1,5,2,0,8
3,2018,0,0,1,0,1
3,2019,0,2,2,0,4
3,2020,0,1,0,0,1
3,2021,0,0,0,0,0
3,2022,0,0,0,0,0
